title,name,color,logo,link,logo_color
python,python,3776ab,python,https://github.com/search?l=Python&o=desc&q=user%3Amastermedo+&s=stars&type=Repositories,white
git,git,f1502f,git,,white
docker,docker,0db7ed,docker,https://github.com/search?q=user%3Amemgraph+language%3Adockerfile&type=Code,white
bash,bash,3c4548,gnu+bash,https://github.com/search?q=user%3Amastermedo+language%3Abash&type=code,white
c#,c%23,239120,c-sharp,https://github.com/search?q=user%3Amastermedo+language%3Ac%23&type=repositories,white
.net core,.net_core,5c2d91,.net,https://github.com/search?q=user%3Amastermedo+language%3Ac%23&type=repositories,white
kafka,kafka,FFFFFF,apachekafka,,black
sql,sql,F7AC00,mariadb,,white
cypher,cypher,0186F7,neo4j,,white
react,react_native,20232a,react,https://github.com/MasterMedo?tab=repositories&q=&type=&language=typescript&sort=stargazers,white
linkedin,linkedin_navigator,0077b5,linkedin,https://www.linkedin.com/in/MasterMedo/,white
github,github,100000,github,https://github.com/mastermedo,white
stack overflow,stack_overflow,fe7a16,stack-overflow,https://stackoverflow.com/users/11523964/medo,white
arch linux,arch_linux,1793d1,arch-linux,https://github.com/MasterMedo/dotfiles,white
debian,debian,A3002F,debian,,white
c,c,00599c,c,https://github.com/MasterMedo/dotfiles/tree/master/.local/src,white
pypi,pypi,ffde57,pypi,https://pypi.org/user/MasterMedo/,black
flask,flask,000000,flask,https://github.com/search?q=user%3Amastermedo+flask+language%3Apython&type=code,white
vimscript,vimscript,019331,vim,https://github.com/search?l=vim+script&q=user%3Amastermedo+&type=code,white
html5,html5,e34f26,html5,https://github.com/MasterMedo/mastermedo.github.io,white
markdown,markdown,000000,markdown,https://github.com/MasterMedo?tab=repositories&sort=stargazers,white
sqlite,sqlite,07405e,sqlite,https://github.com/search?q=sqlalchemy+user%3Amastermedo+language%3Apython&type=code,white
airtable,airtable,e62f47,airtable,,white
notion,notion,000000,notion,,white
postman,postman,f76935,postman,,white
jira,jira,2580f7,jira,,white
slack,slack,4a154b,slack,,white
java,java,ed8b00,java,https://github.com/MasterMedo?tab=repositories&q=&type=&language=java&sort=stargazers,white
javascript,javascript,f7df1e,javascript,https://github.com/MasterMedo?tab=repositories&q=&type=&language=javascript&sort=stargazers,black
typescript,typescript,007acc,typescript,https://github.com/MasterMedo?tab=repositories&q=&type=&language=typescript&sort=stargazers,white
css,css3,1572b6,css3,https://github.com/search?q=user%3Amastermedo+language%3Acss&type=code,white
sass,sass,cc6699,sass,https://github.com/search?q=user%3Amastermedo+language%3Ascss&type=code,white
node,node.js,43853d,node.js,,white
neovim,neovim,2f9dda,neovim,https://github.com/MasterMedo/dotfiles/blob/master/.config/nvim/init.vim,white
aws,aws,232f3e,amazon-aws,,white
postgresql,postgresql,316192,postgresql,,white
mongodb,mongodb,4ea94b,mongodb,,white
excel,excel,217346,microsoft-excel,,white
mysql,mysql,00000f,mysql,,white
